date,close,start,high,low,volume
2019-11-01,278.43,276.17,278.55,275.59,56.88
2019-10-31,275.82,276.84,279.04,275.82,77.18
2019-10-30,275.51,277.49,277.49,274.97,71.87
2019-10-29,277.55,279.25,279.49,276.84,55.68
2019-10-28,277.78,278.16,279.39,277.29,58.1
2019-10-25,277.07,277.6,277.67,275.7,58.28
2019-10-24,276.7,277.7,277.84,274.31,73.68
2019-10-23,276.23,276.83,277.29,275.34,65.29
2019-10-22,277.41,275.4,278.19,274.93,63.88
2019-10-21,273.79,273.87,274.1,272.67,45.39
2019-10-18,272.81,275.99,277.06,272.28,71.47
2019-10-17,275.57,275.92,276.68,274.62,53.87
2019-10-16,276.32,276.26,277.59,275.24,65.38
2019-10-15,274.34,273.85,275.09,273.83,53.05
2019-10-14,274.23,274.71,275.75,273.97,71.05
2019-10-11,271.3,271.68,272.68,270.58,59.64
2019-10-10,268.8,268.79,270.78,266.23,98.18
2019-10-08,271.36,268.9,271.51,267.97,75.08
2019-10-07,267.67,269.12,269.75,266.83,53.57
2019-10-04,267.39,268.14,270.16,267.39,62.88
2019-10-02,268.55,272.39,272.42,268.55,66.21
2019-10-01,274.42,273.43,275.38,272.81,52.63
2019-09-30,273.55,270.61,273.85,270.06,54.69
2019-09-27,271.33,273.32,273.4,270.52,57.74
2019-09-26,274.89,275.61,276.38,273.5,89.59
2019-09-25,274.42,276.67,277.04,274.12,70.84
2019-09-24,277.97,276.41,278.17,275.55,68.27
2019-09-23,276.65,275.86,277.11,275.64,60.19
2019-09-20,276.44,275.01,276.67,274.46,74.03
2019-09-19,274.92,273.11,276.15,273.03,70.5
2019-09-18,273.06,271.88,273.72,271.04,67.6
2019-09-17,271.68,271.46,272.26,270.9,73.74
2019-09-16,272.02,271.48,272.03,269.59,103.34
2019-09-11,270.84,270.35,271.35,269.58,103.9
2019-09-10,268.76,267.96,269.13,267.35,66.34
2019-09-09,267.4,266.11,268.67,265.92,62.21
2019-09-06,265.53,266.2,266.36,264.74,59.2
2019-09-05,264.44,262.53,266,262.27,88.99
2019-09-04,261.69,257.89,261.69,257.76,69.29
2019-09-03,258.25,258.55,259.67,257.4,64.32
2019-09-02,259.08,258.25,259.74,257.8,54.89
2019-08-30,259,256.85,259.61,256.72,94.16
2019-08-29,254.31,255.68,256.28,253.6,64.85
2019-08-28,255.53,254.2,255.98,253.65,58.34
2019-08-27,253.5,253.74,254.96,252.53,93.38
2019-08-26,252.19,251.8,253.14,250.99,62.61
2019-08-23,256.11,255.11,256.88,254.91,54.78
2019-08-22,256.28,258.53,258.73,256.25,67.25
2019-08-21,258.38,257.15,259.49,257.11,65.48
2019-08-20,258.05,255.53,258.62,254.74,81.69
2019-08-19,255.11,255.2,255.84,254.25,66.02
2019-08-16,253.9,252.76,253.94,251.46,71.83
2019-08-14,254.86,255.84,256.82,254.59,82.24
2019-08-13,252.83,253.5,254.58,252.63,76.82
2019-08-12,255.35,255.57,256.43,254.43,69.38
2019-08-09,254.85,255.13,256.15,254.41,117.69
2019-08-08,252.4,254.11,255.33,252.37,163.71
2019-08-07,252,254.46,254.9,251.08,90.74
2019-08-06,253.41,250.85,257.04,250.24,123.17
2019-08-05,257.19,261.1,261.4,256.76,131.04
2019-08-02,262.99,262.61,263.94,261.75,99.66
2019-08-01,265.73,264.97,267.44,264.47,72.58
2019-07-31,266.34,268.46,269.14,265,96.24
2019-07-30,268.95,268.69,269.79,268.33,64.53
2019-07-29,267.75,271.21,271.91,267.07,78.75
2019-07-26,272.25,271.41,272.56,270.57,89.84
2019-07-25,273.04,274.08,274.62,271.25,95.65
2019-07-24,273.22,275.12,276.48,272.91,84.29
2019-07-23,275.92,274.93,276.56,274.84,95.08
2019-07-22,274.55,273.9,275.35,273.57,60.91
2019-07-19,274.55,272.71,274.95,272.21,87.94
2019-07-18,270.67,271.05,271.63,269.73,80.14
2019-07-17,271.48,272.13,272.28,270.29,117.95
2019-07-16,274.05,272.79,274.54,272.14,137.05
2019-07-15,272.64,272.06,273.38,270.99,83.61
2019-07-12,272.68,272.21,273.23,271.28,55.66
2019-07-11,271.78,270.58,272.97,270.46,107.37
2019-07-10,268.75,269.29,270.33,268.6,67.51
2019-07-09,267.72,269.6,270.22,267.72,71.88
2019-07-08,268.55,271.38,271.67,268.38,75.1
2019-07-05,274.35,274.74,275.23,272.41,60.02
2019-07-04,274.54,273.18,274.61,271.93,77.52
2019-07-03,272.37,275.57,276.69,271.9,97.52
2019-07-02,275.97,276.06,277.46,274.63,65.54
2019-07-01,277.27,279.59,279.68,276.85,74.36
2019-06-28,277.5,278.03,278.56,276.58,67.6
2019-06-27,277.75,275.47,278.63,275.09,66.3
2019-06-26,275.53,275.21,276.36,274.66,58.82
2019-06-25,275.28,275.33,277.02,274.19,60.51
2019-06-24,275.58,275.91,276.73,275.13,55.54
2019-06-21,275.48,276.17,276.26,274.6,77.28
2019-06-20,276.01,274.63,276.09,274.43,55.34
2019-06-19,275.31,274.4,275.6,274.08,69.73
2019-06-18,271.36,269.77,271.87,269.77,65.72
2019-06-17,270.09,269.83,271.59,269.14,57.06
2019-06-14,270.48,270.19,271.55,268.96,66.71
2019-06-13,271.13,271.96,272.46,268.38,95.8
2019-06-12,272.74,273.14,274.32,272,66.92
2019-06-11,273.21,271.48,273.69,271.24,61.24
2019-06-10,272.1,270.32,272.2,268.68,60.89
2019-06-07,268.27,267.97,269.63,266.27,67.97
2019-06-05,267.99,270.1,270.46,267.46,67.51
2019-06-04,267.66,267.84,268.47,266.72,70.29
2019-06-03,268.16,262.68,268.55,262.33,83.61
2019-05-31,263.89,262.48,265.21,261.53,77.79
2019-05-30,263.93,261.58,264.23,261.58,70.34
2019-05-29,261.37,264.1,264.1,260.22,82.79
2019-05-28,264.7,264.38,266.16,263.27,147.26
2019-05-27,264.4,264.18,265.85,263.17,53.14
2019-05-24,264.42,264.7,266.11,263.1,67.23
2019-05-23,266.38,266.4,267.12,264.5,71.66
2019-05-22,266.65,267.01,267.6,263.95,61.66
2019-05-21,266.12,265.25,268.55,264.79,81.02
2019-05-20,264.96,265.9,267.65,264.33,64.23
2019-05-17,264.35,267.85,268.06,263.94,75.1
