date,close,start,high,low,volume
2009-11-02,204.25,201.76,205.72,201.76,97.17
2009-11-03,203.13,204.49,204.93,202.95,80.13
2009-11-04,207.18,203.93,207.19,203.13,86.2
2009-11-05,203.52,205.57,206.12,203.34,77.39
2009-11-06,206.53,207,207.13,205.38,80.61
2009-11-09,207.29,207.29,209.41,206.68,85.93
2009-11-10,208.23,209.89,210.65,207.79,84.6
2009-11-11,210.08,209.41,210.08,207.22,76.03
2009-11-12,206.67,210.51,211.17,206.67,105.11
2009-11-13,206.84,208,208.77,205.38,90.7
2009-11-16,209.9,207.61,209.9,206.1,101.7
2009-11-17,209,210.86,211.3,208.92,119.25
2009-11-18,211.56,210.54,212.88,210.29,112.74
2009-11-19,213.89,212.28,214.62,212.14,110.81
2009-11-20,213.76,212.88,214.5,212.6,90.76
2009-11-23,213.72,214.2,215.29,212.67,84.01
2009-11-24,211.92,214.79,214.87,211.04,153.57
2009-11-25,212.61,212.18,213.14,210.93,78.57
2009-11-26,210.77,211.8,213.87,210.77,90.55
2009-11-27,200.73,207.4,208.37,200.06,131.88
2009-11-30,204.75,203.81,206.66,203.81,102.91
2009-12-01,207.07,204.02,207.07,202.99,111.38
2009-12-02,210.25,208.82,210.97,208.41,107.72
2009-12-03,213.31,211.01,213.31,210.55,99.77
2009-12-04,214.5,212.43,215.34,212.34,96.33
2009-12-07,215.55,215.65,216.07,214.52,97.13
2009-12-08,214.91,215.24,216.4,214.07,74.41
2009-12-09,215.75,213.3,215.9,212.47,107.3
2009-12-10,218.73,215.95,218.73,212.7,139.12
2009-12-11,218.77,218.26,220.01,216.9,106.16
2009-12-14,219.51,219.48,219.69,216.77,111.47
2009-12-15,219.6,218.72,219.99,218.48,94.8
2009-12-16,219.32,219.65,220.22,217.66,91.84
2009-12-17,216.9,219.17,219.33,216.82,84.86
2009-12-18,216.68,215.82,217.37,214.69,85.06
2009-12-21,216.2,216.47,217.08,215.13,84.57
2009-12-22,217.87,217.77,218.08,216.61,95.16
2009-12-23,218.95,218.66,218.95,217.81,82.32
2009-12-24,221.67,219.15,222.62,218.83,103.77
2009-12-28,222.03,223.04,223.06,221.16,136.9
2009-12-29,220.34,220.57,221.65,218.92,88.92
2009-12-30,221.86,220.1,221.86,218.99,100.37
2010-01-04,223.49,221.67,223.49,221.66,85.97
2010-01-05,222.84,224.24,224.4,222.18,153.28
2010-01-06,224.67,223.83,224.96,223.52,170.5
2010-01-07,221.31,224.23,224.77,221.31,183.42
2010-01-08,222.66,222.65,222.81,219.15,157.26
2010-01-11,222.23,223.31,224.18,222.23,155.39
2010-01-12,223.04,222.5,223.39,220.86,121.23
2010-01-13,219.17,220.82,221.46,219.01,116.03
2010-01-14,221.19,220.39,222.24,219.88,134.06
2010-01-15,223.21,222.33,223.69,221.12,156.99
2010-01-18,224.38,222.26,225.19,221.21,156.02
2010-01-19,224.13,225.44,226.1,223.55,129.31
2010-01-20,224.83,225.87,225.97,223.88,171.77
2010-01-21,226.16,223.03,226.16,222.41,127.29
2010-01-22,220.68,222.59,223.9,218.22,154.75
2010-01-25,219.33,217.72,220.65,217.37,125.94
2010-01-26,214.89,219.09,219.41,213.52,130.22
2010-01-27,213.02,215.38,215.63,212.51,119.97
2010-01-28,215.67,213.94,216.65,212.53,115.84
2010-01-29,210.34,212.77,213.63,209.4,113.87
2010-02-01,210.76,210.53,211.68,208.77,104.37
2010-02-02,209.27,212.36,212.36,208.55,116.33
2010-02-03,211.86,211.76,212.45,209.99,92.51
2010-02-04,211.72,211.82,212.44,210.71,89.45
2010-02-05,205.06,205.48,206.39,204.31,105.39
2010-02-08,203.37,204.6,204.87,202.69,85.55
2010-02-09,206.01,203.17,206.25,202.93,100.28
2010-02-10,205.94,206.98,207.41,205.23,91.86
2010-02-11,209.73,206.55,210.17,206.45,98.64
2010-02-12,208.74,209.35,209.59,206.56,87.27
2010-02-16,209.73,208.21,210.84,207.77,72.25
2010-02-17,213.44,212.24,213.56,212.09,96.34
2010-02-18,212.55,213.81,213.98,212.11,79.52
2010-02-19,208.7,211.12,212.85,208.56,81.62
2010-02-22,213.28,211.92,213.97,211.92,79.15
2010-02-23,213.45,213.29,213.68,211.61,78.09
2010-02-24,210.92,211.69,211.93,210.11,82.85
2010-02-25,207.56,211.86,212.16,206.85,78.86
2010-02-26,208.36,208.53,208.86,206.69,62.07
2010-03-02,211.44,210.99,212.15,210.58,89.62
2010-03-03,212.36,211.42,212.4,210.81,69.14
2010-03-04,211.91,212.75,213.66,211.12,71.06
